gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
122.92;76.2;88.8;156.9899896;126.564592;132.4892704;119.4595299;76.51228584;52.9;53;95.82;86.33;132.3106424;126.9090389;130.0501181;115.0282174;112.445994;117.1745117;122.9339005;163.954986
129.18;79.3;87.5;161.5809458;129.0054585;133.9699571;124.116957;74.73714642;51.1;50.6;92.08;75.41;131.3518696;120.3350268;131.5753935;116.2837837;112.8937853;117.8027388;123.8447077;158.3393524
129.18;84.1;91.5;150.9147394;129.6336984;131.5879828;116.7658687;75.48497111;53.3;52.2;96.35;90.16;124.6404602;124.2309421;132.3795959;117.0730711;113.2158917;118.3869872;124.4087653;169.0842143
129.18;83.7;91.9;148.1187435;129.9014728;132.0708155;117.8433332;76.46696313;52.3;51.9;100.5;86.49;132.5023969;125.2630689;132.9842359;117.8160871;113.5971531;118.8079411;124.3324011;168.9190486
130.85;84.1;90.9;142.906455;130.6327028;131.8454936;115.4624843;75.5378476;54.4;52.7;107.5;85.69;129.2425695;123.4103647;133.37607;118.4778496;113.869453;119.3344248;123.7575018;160.059197
130.85;85;96.3;142.7338626;131.6729033;133.8733906;116.5225703;81.02944912;54;54.7;109.5;105.62;141.7066155;129.8679745;134.3302676;118.9872805;114.2806815;119.7319817;125.3694449;173.7937096
130.85;83.5;92.6;149.8791854;130.2001442;138.7982833;120.258939;79.18632564;51.9;51.8;101.95;86.5;138.8302972;123.4378725;135.3085801;119.5744741;114.7217211;120.1961377;125.9754555;170.2191602
130.13;86;94.2;152.0193303;130.3752274;138.3476395;120.2415606;79.46581568;54.9;53.8;94.05;83.75;130.5848514;123.3625083;136.1800797;120.1640443;115.1816654;120.6738855;126.3113634;166.3294323
130.13;81.7;93.1;157.7493959;130.8386831;139.6995708;122.4833818;79.13344915;54.6;55.2;101.69;91.2;135.1869607;122.2068959;137.2126183;120.1199268;115.581416;120.8664021;126.1383657;175.0135113
130.13;82.4;86.9;160.7179841;130.3340314;135.4828326;123.0221141;76.30833365;77.2;70.7;101.81;89.88;123.6816874;124.2358728;136.7592676;120.0862074;115.4665078;120.7738815;123.1091609;183.2490668
128.18;83.8;83.6;159.7859855;151.714786;136.5450644;124.8468523;75.84755278;53.2;52.7;87.18;88.46;114.2857143;113.7024801;137.3421224;120.2820624;116.0114971;121.3578386;122.5561337;169.9736846
128.18;76;80.5;166.3099758;142.5486628;141.4377682;123.9431724;72.04799904;48.8;46.9;80.86;81.55;121.7641419;107.4609865;137.9189376;120.6533475;116.6924027;121.8734489;125.0286346;147.3535607
