gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
0.041901789;0.121573104;0.044451763;0.099886847;0.140896897;0.101977785;0.052533843;0.066315454;0.061265196;0.036920589;-0.007761049;0.100806557;-0.014073727;-0.003748913;0.063024485;0.052796376;0.039721904;0.04240907;0.030276047;0.038074987
0.041901789;0.123308715;0.04405999;0.118857412;0.135340318;0.052301047;0.110482667;0.064791476;0.027960815;0.038857803;0.083264716;0.169341427;0.005780363;0.011955261;0.063526036;0.050526929;0.037338057;0.042073628;0.02818336;0.17761863
0.022579506;0.046806573;-0.019619787;0.030091697;0.062285666;0.020217123;0.012661039;-0.013841051;0.071728851;0.027292142;-0.036609009;0.16468473;-0.074220275;-0.037125289;0.059560724;0.047622464;0.037215504;0.04216128;0.027473985;0.044462997
0.022579506;0.064464202;0.044879326;0.007519689;0.097063699;0.0191405;0.031353286;0.072276444;0.072364293;0.084453831;-0.050883688;0.047119779;0.007662873;0.009806528;0.058943378;0.047238684;0.037125708;0.040599342;0.026848108;0.126039424
0.022579506;0.009512557;-0.004362057;0.003489593;0.042681835;0.027642669;0.026629438;0.017625052;0.037527856;0.017192401;-0.00939725;0.093637543;-0.027881483;-0.038515681;0.06188812;0.043407019;0.035812653;0.039782469;0.025681879;0.044768019
0.04388341;0.063348753;0.033534781;0.016529302;0.031125179;0.030061179;0.036502021;0.079550279;0.021819047;0.062520357;0.080142882;0.196535229;-0.017964555;0.015912299;0.068360949;0.041334429;0.036270352;0.039588491;0.025487062;0.099475582
0.04388341;0.054933719;0.028661123;0.060980203;0.068466074;0.050403261;0.034448258;0.057334486;0.061060257;0.075673734;0.053778787;0.10514273;-0.026046709;0.019460518;0.068348365;0.03798235;0.036401842;0.040450593;0.023163931;0.070485587
0.04388341;0.047934366;0.010741242;0.035742325;0.053817396;0.031726956;0.029755203;0.020862606;0.095485326;0.097413967;0.033280139;0.193815936;0.002758622;0.016107056;0.065082223;0.037796321;0.036829627;0.040044547;0.023039879;0.04824106
0.046837829;0.046572868;0.038526368;0.036999986;0.062912862;0.029346443;0.037445873;0.055197261;0.066926378;0.102382107;0.124881651;0.308888455;0.055688906;0.04846169;0.064283005;0.038422372;0.036411783;0.040216851;0.022475145;0.133307031
0.046837829;0.084458141;0.033794135;0.040104013;0.105250308;-0.001152738;0.053992543;0.036919774;0.08594243;0.096626836;-0.006511467;0.216631164;0.011283618;0.041800214;0.061091134;0.040119837;0.036475072;0.040967786;0.02249174;0.077242229
0.046837829;0.077050933;-0.001151411;0.059208621;0.092972764;0.046422817;0.039877913;-0.004762859;0.055429805;0.056372312;0.010746489;0.059288616;-0.010912033;0.009686371;0.057051404;0.037610254;0.036364994;0.041254659;0.022522342;0.069493295
