DATE,GDP,Income,Employment,Industry,Sales,NBER
1967-03-31,4535.591,3313.597,52.069,39.222,387.354,0
1967-06-30,4538.370,3330.662,53.327,39.060,389.216,0
1967-09-30,4581.309,3367.530,54.417,39.328,392.448,0
1967-12-31,4615.853,3393.835,54.108,40.380,402.405,0
1968-03-31,4709.993,3448.202,53.190,40.958,407.922,0
1968-06-30,4788.688,3499.211,54.734,41.508,411.577,0
1968-09-30,4825.799,3554.169,55.399,41.830,415.589,0
1968-12-31,4844.779,3591.891,55.052,42.469,423.809,0
1969-03-31,4920.605,3623.915,54.665,43.294,423.355,0
1969-06-30,4935.564,3664.469,55.922,43.482,426.171,0
1969-09-30,4968.164,3717.645,56.877,44.007,429.804,0
1969-12-31,4943.935,3742.367,56.611,43.727,433.431,0
1970-03-31,4936.594,3763.565,55.792,42.669,424.043,1
1970-06-30,4943.600,3762.262,56.616,42.434,422.322,1
1970-09-30,4989.159,3794.409,57.204,42.283,425.043,1
1970-12-31,4935.693,3770.564,56.696,41.370,419.739,1
1971-03-31,5069.746,3819.106,55.728,42.165,432.501,0
1971-06-30,5097.179,3848.979,56.820,42.548,440.294,0
1971-09-30,5139.128,3875.649,57.870,42.678,443.071,0
1971-12-31,5151.245,3926.467,57.870,43.671,453.410,0
1972-03-31,5245.974,3993.730,57.473,44.575,463.104,0
1972-06-30,5365.045,4046.894,58.905,45.424,472.894,0
1972-09-30,5415.712,4120.991,60.030,45.954,482.604,0
1972-12-31,5506.396,4247.322,59.895,47.536,507.332,0
1973-03-31,5642.669,4263.109,59.301,49.018,521.440,0
1973-06-30,5704.098,4298.674,61.003,49.357,516.717,0
1973-09-30,5674.100,4329.182,62.132,49.731,516.480,0
1973-12-31,5727.960,4384.872,62.242,50.368,531.755,0
1974-03-31,5678.713,4300.682,61.258,49.996,529.149,1
1974-06-30,5692.210,4251.839,62.472,50.126,526.541,1
1974-09-30,5638.411,4249.102,63.409,49.799,520.020,1
1974-12-31,5616.526,4225.406,62.516,47.784,498.051,1
1975-03-31,5548.156,4177.939,60.289,44.785,478.312,1
1975-06-30,5587.800,4184.138,61.418,44.125,473.640,0
1975-09-30,5683.444,4223.274,62.769,45.162,482.931,0
1975-12-31,5759.972,4268.075,62.453,46.010,487.409,0
1976-03-31,5889.500,4320.563,61.927,47.525,505.490,0
1976-06-30,5932.711,4374.831,63.765,48.187,512.920,0
1976-09-30,5965.265,4410.086,64.929,48.735,518.969,0
1976-12-31,6008.504,4453.506,64.666,49.649,524.641,0
1977-03-31,6079.494,4476.520,63.859,50.724,540.035,0
1977-06-30,6197.686,4539.043,65.986,52.238,548.020,0
1977-09-30,6309.514,4594.646,67.238,52.839,554.209,0
1977-12-31,6309.652,4704.133,67.592,53.172,564.225,0
1978-03-31,6329.791,4738.892,66.856,53.084,562.936,0
1978-06-30,6574.390,4815.685,68.985,55.152,588.955,0
1978-09-30,6640.497,4864.709,70.127,55.644,590.715,0
1978-12-31,6729.755,4916.740,70.305,56.557,600.441,0
1979-03-31,6741.854,4976.074,69.517,56.899,600.697,0
1979-06-30,6749.063,4939.646,70.791,56.887,601.434,0
1979-09-30,6799.200,4952.020,72.034,56.599,600.487,0
1979-12-31,6816.203,4969.550,71.919,56.687,596.351,0
1980-03-31,6837.641,4956.949,70.680,56.999,592.025,0
1980-06-30,6696.753,4917.806,71.222,54.634,563.283,1
1980-09-30,6688.794,4918.026,71.958,53.762,573.574,1
1980-12-31,6813.535,5016.180,71.772,55.694,595.882,0
1981-03-31,6947.042,5020.776,70.928,55.871,596.919,0
1981-06-30,6895.559,5044.292,72.537,56.116,588.995,0
1981-09-30,6978.135,5140.766,73.145,56.666,585.000,0
1981-12-31,6902.105,5130.612,72.171,55.326,568.215,1
1982-03-31,6794.878,5130.732,70.531,54.307,564.967,1
1982-06-30,6825.876,5156.870,71.789,53.650,568.134,1
1982-09-30,6799.781,5126.185,72.513,52.813,558.458,1
