96.84,0,0,101.863997238523,90.1472759106046,100.010729613734,101.681365946909,0,0,0,34.46,52.16,88.5906040268456,0,99.8956784476073,100.470258657425,99.0498046420434,99.3051331188382,98.0925544265309,0
96.84,0,0,103.797031411805,95.5542586425899,98.6909871244635,99.7871138723552,0,0,0,33.81,51.17,90.1246404602109,0,99.7773474155746,100.072755505048,99.2492125165597,99.3668782088617,98.677258549699,0
96.84,0,0,102.036589575423,94.7921315527481,97.274678111588,101.577095190511,0,0,0,34.02,59.07,98.7535953978907,0,99.6607419545521,99.7770791131169,99.2513938242116,99.3984303381976,99.5257488928969,0
100.12,0,0,104.970659302727,98.2423014864911,99.4635193133047,102.115827431898,0,0,0,42.08,61.83,98.1783317353787,0,99.8716498712886,100.007619057994,99.6341873491817,99.6371586029267,99.9496169576766,0
100.12,0,0,99.5857783914394,99.1074187236088,97.274678111588,98.6401355519833,0,0,0,44.35,64.43,98.3700862895494,0,100.340703211169,99.9399573666976,99.8981515430166,99.8582176752278,100.325121072894,0
100.12,0,0,96.5481532619952,101.270211816403,99.3669527896996,97.8059695008038,0,0,0,37.87,63.32,100.671140939597,0,100.603982208069,100.090877846076,100.172944371267,100.06995673394,100.444758211285,0
107.56,0,0,91.3703831549879,99.4369871948917,97.6287553648069,96.3983142894382,0,0,0,44.06,75.8,100.671140939597,0,100.621755589475,100.104840961294,100.321351195444,100.2436390705,100.316070509233,0
107.56,0,0,96.5136347946151,107.006763019671,101.105150214592,98.692270930182,0,0,0,43.55,72.54,104.697986577181,0,100.441260861795,99.9805840902309,100.544857325925,100.393341788765,100.644153441936,0
107.56,0,0,97.1004487400759,104.91606302997,102.489270386266,100.256332276144,0,0,0,40.99,72.78,112.94343240652,0,100.516884011323,99.9590452422882,100.731696713494,100.534209910815,100.816774088425,0
104.31,0,0,99.4477045219192,103.309416732466,102.93991416309,101.420689055915,0,0,0,42.05,85.45,98.7535953978907,0,100.218230808712,99.8890811224191,100.644937798433,100.458776050834,100.784437178678,0
104.31,0,0,103.451846738005,103.772872395208,102.231759656652,101.455445974714,0,0,0,39.12,75.38,106.423777564717,0,99.6326582863592,99.8557330440526,100.595936280108,100.500619028507,100.711089902344,0
104.31,0,0,103.313772868485,102.444299495348,101.523605150215,100.169439979146,0,0,0,38.24,88.31,101.821668264621,0,98.4191073340758,99.8521679933586,99.905526440316,100.233639472588,99.7124167684004,0
100.13,0,0,114.22160856058,97.3771842493735,105.611587982833,113.342312204023,0,0,0,37.48,40.21,94.3432406519655,0,98.635321381669,99.688324205215,99.8876085560321,100.326451274573,98.9855433743942,0
100.13,0,0,111.114946496376,101.342304919496,99.6888412017167,107.32936525177,0,0,0,31.31,67.61,97.0278044103547,0,98.67142895506,99.2228622739837,99.9185363823831,100.395186374787,100.120540623479,0
100.13,0,0,107.732136693131,97.717051735384,103.487124463519,104.149107181648,0,0,0,37.82,75.95,103.163950143816,0,98.895968882778,99.3601167257015,100.054478591407,100.611002939445,101.598799354739,0
104.88,0,0,108.180876769071,102.423701465893,102.263948497854,105.139679367424,0,0,0,45.31,87.54,107.574304889741,0,99.0285790149211,99.8229048689123,100.272271773275,100.871477902547,102.351033182336,0
104.88,0,0,107.00724887815,106.121047753098,104.130901287554,105.29608550202,0,0,0,45.31,78.25,110.642377756472,0,99.4403865365342,99.911139873588,100.446984129018,101.10311907361,102.818079977914,0
104.88,0,0,102.519848118744,103.453602938652,102.070815450644,105.469870096016,0,0,0,47.05,84.06,105.656759348035,0,99.9912319423038,100.234296864618,100.658700810998,101.40213617624,102.826187774527,0
109.49,0,0,102.036589575423,105.925366473274,103.648068669528,103.940565668853,0,0,0,51.51,95.52,111.601150527325,0,100.152788528145,100.102464260831,100.661687125046,101.625331084988,102.428717187091,0
109.49,0,0,106.040731791508,110.04497236431,107.092274678112,104.705217882435,0,0,0,49.79,88.21,110.642377756472,0,100.297779632287,100.061020546514,100.764260520584,101.749597932834,103.093367955929,0
109.49,0,0,108.767690714532,107.532012770778,109.989270386266,106.894903766781,0,0,0,45.15,90.2,118.504314477469,0,100.594922960265,100.1752507125,100.944166465974,101.906387744765,103.353948767996,0
108.21,0,0,114.0144977563,108.829688626455,109.763948497854,110.092540296303,0,0,0,47.95,92.71,124.448705656759,0,100.761397423485,100.247962892279,101.087561476142,102.085409672443,103.435403840943,0
108.21,0,0,118.536416983086,110.477530982869,109.281115879828,111.187383238476,0,0,0,39.32,86.37,115.244487056568,0,100.780033590397,100.001825850616,101.197405897187,102.021043328598,103.298231235459,0
108.21,0,0,118.329306178806,102.320711318617,107.25321888412,110.005647999305,0,0,0,44.99,85.51,105.656759348035,0,99.8461114203358,99.5998663848709,100.827180859164,101.616690655724,101.137126331334,0
101.14,0,0,128.926475664481,98.3040955748567,111.405579399142,124.742581570144,0,0,0,38.61,76.6,98.3700862895494,0,100.000808861411,99.2541307394454,100.828089737352,101.476405034522,100.280151084705,0
101.14,0,0,120.331377286848,100.12702118164,107.478540772532,113.272798366425,0,0,0,37.38,65.89,94.5349952061361,0,99.9682818478665,98.8195659142285,100.870391525031,101.465822935761,101.454933103214,0
101.14,0,0,119.710044874008,98.9632325174225,107.99356223176,115.566755007169,0,0,0,43.33,87.64,110.06711409396,0,100.042438262035,98.7478935409018,100.868184249431,101.537761790646,102.560138913582,0
106.46,0,0,124.542630307214,107.109753166947,112.467811158798,116.001216492158,0,0,0,47.52,79.54,114.477468839885,0,100.464340374058,98.9418917161653,101.042714829536,101.786683820238,103.143428886178,0
